type,datum,NIS,kieskring,mandaten,"ingeschreven
kiezers",stembiljetten,blanco&ongeldig,lijstnr,lijst,"aantal
kandidaten",lijststemmen cat.1,lijststemmen cat.2,stemcijfer,verkiesbaarheidscijfer,verkregen zetels
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,4,Groen,55,15620,35435,51055,46801,11
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,5,VLAAMS BELANG,55,7103,22462,29565,25342,6
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,6,Open Vld,55,4219,11549,15768,10512,2
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,7,PVDA,55,5002,19635,24637,19710,4
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,8,Be.One,10,146,1492,1638,,0
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,9,Paars: Piraten+Volt,16,475,1001,1476,,0
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,10,D-SA,37,314,4561,4875,,0
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,11,BDW,20,191,483,674,,0
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,12,Burgerlijst,19,459,945,1404,,0
CG,14/10/2018,11002,Antwerpen,55,325929,290163,7731,13,USE,1,74,131,205,,0
CG,14/10/2018,34002,Anzegem,23,11534,11087,530,2,N-VA,23,499,573,1072,536,1
CG,14/10/2018,34002,Anzegem,23,11534,11087,530,3,CD&V-EENDRACHT,23,249,2335,2584,2215,6
CG,14/10/2018,34002,Anzegem,23,11534,11087,530,7,Samen één,23,597,3880,4477,4104,11
CG,14/10/2018,34002,Anzegem,23,11534,11087,530,8,INZET,23,425,1999,2424,2020,5
CG,14/10/2018,37020,Ardooie,19,7165,6762,286,2,N-VA,10,238,284,522,,0
CG,14/10/2018,37020,Ardooie,19,7165,6762,286,7,SAMENPLUS,19,316,1289,1605,1284,4
CG,14/10/2018,37020,Ardooie,19,7165,6762,286,8,GROEP 82,19,614,3735,4349,4078,15
CG,14/10/2018,13001,Arendonk,23,9236,8674,245,1,sp.a - Groen,23,272,972,1244,933,3
CG,14/10/2018,13001,Arendonk,23,9236,8674,245,2,N-VA,23,510,2734,3244,2950,10
CG,14/10/2018,13001,Arendonk,23,9236,8674,245,3,CD&V,23,270,1782,2052,1759,6
CG,14/10/2018,13001,Arendonk,23,9236,8674,245,5,VLAAMS BELANG,5,231,638,869,580,2
CG,14/10/2018,13001,Arendonk,23,9236,8674,245,7,Arendonk Positief,23,189,831,1020,680,2
CG,14/10/2018,71002,As,19,6235,5900,331,1,sp.a,19,95,596,691,461,2
CG,14/10/2018,71002,As,19,6235,5900,331,2,N-VA,19,228,522,750,500,2
CG,14/10/2018,71002,As,19,6235,5900,331,3,CD&V,19,153,1087,1240,992,4
CG,14/10/2018,71002,As,19,6235,5900,331,7,VOLUIT!,19,429,2459,2888,2648,11
CG,14/10/2018,23002,Asse,31,22651,20915,822,1,sp.a,20,275,648,923,,0
CG,14/10/2018,23002,Asse,31,22651,20915,822,2,N-VA,31,1114,3543,4657,4140,8
CG,14/10/2018,23002,Asse,31,22651,20915,822,3,CD&V,31,549,4779,5328,4844,10
CG,14/10/2018,23002,Asse,31,22651,20915,822,4,Groen,31,700,1471,2171,1629,3
CG,14/10/2018,23002,Asse,31,22651,20915,822,5,VLAAMS BELANG,18,558,602,1160,580,1
CG,14/10/2018,23002,Asse,31,22651,20915,822,7,ZELLIKRELEGEM-VOLK,31,689,1738,2427,1942,4
CG,14/10/2018,23002,Asse,31,22651,20915,822,8,ANDERS,31,416,2511,2927,2440,5
CG,14/10/2018,23002,Asse,31,22651,20915,822,9,PVDA,5,179,321,500,,0
CG,14/10/2018,43002,Assenede,23,11257,10614,539,5,VLAAMS BELANG,7,656,501,1157,772,2
CG,14/10/2018,43002,Assenede,23,11257,10614,539,7,SAMENPLUS,23,742,4165,4907,4557,13
CG,14/10/2018,43002,Assenede,23,11257,10614,539,8,Anders,23,676,2822,3498,3110,8
CG,14/10/2018,43002,Assenede,23,11257,10614,539,9,CONTENT ASSNEE,13,54,169,223,,0
CG,14/10/2018,43002,Assenede,23,11257,10614,539,10,RECHT VOORUIT,1,64,101,165,,0
CG,14/10/2018,43002,Assenede,23,11257,10614,539,11,AVE,8,41,84,125,,0
CG,14/10/2018,34003,Avelgem,21,7871,7438,465,2,N-VA,12,313,265,578,289,1
CG,14/10/2018,34003,Avelgem,21,7871,7438,465,3,CD&V,21,245,1702,1947,1669,6
CG,14/10/2018,34003,Avelgem,21,7871,7438,465,7,Tandem,21,336,1561,1897,1626,6
CG,14/10/2018,34003,Avelgem,21,7871,7438,465,8,gbA-GEMEENTEBELANGEN,21,374,2177,2551,2268,8
CG,14/10/2018,13002,Baarle-Hertog,11,1365,1313,32,2,N-VA,11,38,387,425,340,4
CG,14/10/2018,13002,Baarle-Hertog,11,1365,1313,32,7,CDK,11,33,445,478,383,4
CG,14/10/2018,13002,Baarle-Hertog,11,1365,1313,32,8,FORUM+,11,46,332,378,284,3
CG,14/10/2018,13003,Balen,27,17201,15876,696,1,sp.a Balen 2025,27,433,1888,2321,1857,4
CG,14/10/2018,13003,Balen,27,17201,15876,696,2,N-VA,27,900,2118,3018,2587,6
CG,14/10/2018,13003,Balen,27,17201,15876,696,3,CD&V,27,684,4878,5562,5135,12
CG,14/10/2018,13003,Balen,27,17201,15876,696,4,Groen,9,311,384,695,,0
CG,14/10/2018,13003,Balen,27,17201,15876,696,5,VLAAMS BELANG,12,902,1246,2148,1719,4
CG,14/10/2018,13003,Balen,27,17201,15876,696,6,Open Vld Plus,27,189,991,1180,590,1
CG,14/10/2018,13003,Balen,27,17201,15876,696,7,LP LijstParticipatie,9,69,187,256,,0
CG,14/10/2018,31003,Beernem,25,12523,11579,554,1,sp.a - GROEN,25,518,1482,2000,1600,4
CG,14/10/2018,31003,Beernem,25,12523,11579,554,2,N-VA,25,789,2775,3564,3208,9
CG,14/10/2018,31003,Beernem,25,12523,11579,554,3,CD&V Beernem,25,523,4385,4908,4531,12
CG,14/10/2018,31003,Beernem,25,12523,11579,554,7,BEERNEMSE FLANDRIENS,10,85,120,205,,0
CG,14/10/2018,31003,Beernem,25,12523,11579,554,8,BEERNEMS BELANG,1,0,348,348,,0
CG,14/10/2018,13004,Beerse,25,13645,12726,492,2,N-VA,25,798,2482,3280,2870,7
CG,14/10/2018,13004,Beerse,25,13645,12726,492,4,GROEN-HART V BEERSE,25,422,875,1297,865,2
CG,14/10/2018,13004,Beerse,25,13645,12726,492,5,VLAAMS BELANG,7,585,1061,1646,1235,3
CG,14/10/2018,13004,Beerse,25,13645,12726,492,7,CDE-Vlim.be,25,555,3700,4255,3869,10
CG,14/10/2018,13004,Beerse,25,13645,12726,492,8,BEERSE+,25,287,1292,1579,1185,3
CG,14/10/2018,13004,Beerse,25,13645,12726,492,9,Gemeentebelangen,3,32,145,177,,0
CG,14/10/2018,23003,Beersel,29,17619,16072,613,1,sp.a-plus,22,179,309,488,,0
CG,14/10/2018,23003,Beersel,29,17619,16072,613,2,N-VA,29,898,2607,3505,3067,7
CG,14/10/2018,23003,Beersel,29,17619,16072,613,4,Groen,29,998,1557,2555,2130,5
CG,14/10/2018,23003,Beersel,29,17619,16072,613,5,VLAAMS BELANG,15,427,500,927,464,1
CG,14/10/2018,23003,Beersel,29,17619,16072,613,6,Open Vld,29,413,795,1208,806,2
CG,14/10/2018,23003,Beersel,29,17619,16072,613,7,Lijst BURGEMEESTER,29,756,3491,4247,3823,9
CG,14/10/2018,23003,Beersel,29,17619,16072,613,8,union francophone,16,1218,1311,2529,2108,5
CG,14/10/2018,24007,Begijnendijk,21,8132,7673,370,2,N-VA,21,423,576,999,666,2
CG,14/10/2018,24007,Begijnendijk,21,8132,7673,370,7,LEEF,21,330,547,877,585,2
CG,14/10/2018,24007,Begijnendijk,21,8132,7673,370,8,MGB,21,255,2334,2589,2331,9
CG,14/10/2018,24007,Begijnendijk,21,8132,7673,370,9,Samen,21,261,1689,1950,1672,6
CG,14/10/2018,24007,Begijnendijk,21,8132,7673,370,10,S.A.F.E.,21,119,769,888,592,2
CG,14/10/2018,24008,Bekkevoort,17,4985,4719,187,2,N-VA,10,279,337,616,411,2
CG,14/10/2018,24008,Bekkevoort,17,4985,4719,187,3,CD&V,17,244,1420,1664,1456,7
CG,14/10/2018,24008,Bekkevoort,17,4985,4719,187,6,Open Vld,8,91,282,373,187,1
CG,14/10/2018,24008,Bekkevoort,17,4985,4719,187,7,ONS DORP,17,221,1189,1410,1209,6
CG,14/10/2018,24008,Bekkevoort,17,4985,4719,187,8,GBL,8,97,372,469,235,1
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,1,sp.a-L.Burgemeester,35,698,6528,7226,6504,9
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,2,N-VA,35,1687,3501,5188,4447,6
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,3,CD&V,35,1006,6373,7379,6642,9
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,4,Groen,35,655,1374,2029,1353,2
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,5,VLAAMS BELANG,17,1294,1632,2926,2195,3
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,7,VOLUIT,35,904,4039,4943,4237,6
CG,14/10/2018,71004,Beringen,35,34486,31706,1289,8,BEONE,5,50,676,726,,0
CG,14/10/2018,12002,Berlaar,21,9104,8563,347,2,N-VA,21,544,1232,1776,1480,5
CG,14/10/2018,12002,Berlaar,21,9104,8563,347,3,CD&V,21,403,2331,2734,2431,8
CG,14/10/2018,12002,Berlaar,21,9104,8563,347,4,Groen,21,336,842,1178,786,2
CG,14/10/2018,12002,Berlaar,21,9104,8563,347,5,VLAAMS BELANG,20,429,485,914,610,2
CG,14/10/2018,12002,Berlaar,21,9104,8563,347,7,Kartel BHG,21,276,1338,1614,1292,4
CG,14/10/2018,42003,Berlare,23,11838,11184,369,1,sp.a-Groen,23,252,518,770,385,1
CG,14/10/2018,42003,Berlare,23,11838,11184,369,2,N-VA,23,389,690,1079,720,2
CG,14/10/2018,42003,Berlare,23,11838,11184,369,3,CD&V,23,324,2098,2422,2076,6
CG,14/10/2018,42003,Berlare,23,11838,11184,369,5,VLAAMS BELANG,3,358,430,788,394,1
CG,14/10/2018,42003,Berlare,23,11838,11184,369,6,Open Vld,23,485,3686,4171,3851,12
CG,14/10/2018,42003,Berlare,23,11838,11184,369,7,Gemeentebelangen,23,92,672,764,382,1
CG,14/10/2018,42003,Berlare,23,11838,11184,369,8,OBU VOORUIT,19,54,327,381,,0
CG,14/10/2018,42003,Berlare,23,11838,11184,369,9,Stem van 't volk,15,73,367,440,,0
CG,14/10/2018,24009,Bertem,21,7323,6779,262,1,sp.a-GROEN,21,450,797,1247,998,4
CG,14/10/2018,24009,Bertem,21,7323,6779,262,2,N-VA,21,390,777,1167,876,3
CG,14/10/2018,24009,Bertem,21,7323,6779,262,3,CD&V,21,163,1544,1707,1464,6
CG,14/10/2018,24009,Bertem,21,7323,6779,262,7,GEMBELANGEN OPEN VLD,21,319,2077,2396,2130,8
CG,14/10/2018,23009,Bever,11,1624,1561,55,2,N-VA,3,47,36,83,,0
CG,14/10/2018,23009,Bever,11,1624,1561,55,7,Thuis in Bever,11,59,704,763,654,6
CG,14/10/2018,23009,Bever,11,1624,1561,55,8,OPEN VOOR DE MENS,11,102,558,660,550,5
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,2,N-VA,35,2683,5537,8220,7473,10
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,3,CD&V Beveren,35,1605,9510,11115,10322,13
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,4,Groen-sp.a Beveren,35,1470,3271,4741,3951,5
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,5,VLAAMS BELANG,26,2033,1831,3864,3092,4
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,6,Open Vld,28,631,1154,1785,893,1
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,7,Beveren 2020,35,991,1656,2647,1765,2
CG,14/10/2018,46003,Beveren,35,37274,34431,1145,8,NGB NGBeveren,19,375,539,914,,0
CG,14/10/2018,24011,Bierbeek,21,7642,7074,243,1,sp.a Groen,21,478,1120,1598,1332,5
CG,14/10/2018,24011,Bierbeek,21,7642,7074,243,2,N-VA,21,438,720,1158,869,3
CG,14/10/2018,24011,Bierbeek,21,7642,7074,243,3,CD&V,21,355,2095,2450,2178,8
CG,14/10/2018,24011,Bierbeek,21,7642,7074,243,7,Open Bierbeek,21,395,1230,1625,1355,5
CG,14/10/2018,73006,Bilzen,31,24679,23412,994,2,N-VA,31,793,3255,4048,3470,6
CG,14/10/2018,73006,Bilzen,31,24679,23412,994,4,Groen,31,552,1130,1682,841,1
CG,14/10/2018,73006,Bilzen,31,24679,23412,994,5,VLAAMS BELANG,21,1071,956,2027,1352,2
CG,14/10/2018,73006,Bilzen,31,24679,23412,994,7,BILZEN BRUIST,31,290,1959,2249,1687,3
CG,14/10/2018,73006,Bilzen,31,24679,23412,994,8,ToB,31,788,6742,7530,6951,12
CG,14/10/2018,73006,Bilzen,31,24679,23412,994,9,BETER BILZEN,31,521,4361,4882,4272,7
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,1,sp.a,27,644,1907,2551,2187,6
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,2,N-VA,27,887,2352,3239,2835,7
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,3,CD&V2030,27,301,1488,1789,1342,3
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,4,Groen,11,394,303,697,,0
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,5,VLAAMS BELANG,27,755,601,1356,904,2
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,6,Open Vld,27,527,3433,3960,3564,9
CG,14/10/2018,31004,Blankenberge,27,16740,14991,699,7,Beter Blankenberge,5,218,482,700,,0
CG,14/10/2018,72003,Bocholt,23,9564,9053,664,2,N-VA,23,501,1046,1547,1238,4
CG,14/10/2018,72003,Bocholt,23,9564,9053,664,7,NU - Nieuwe Unie,23,217,1740,1957,1678,6
CG,14/10/2018,72003,Bocholt,23,9564,9053,664,8,SAMEN,23,178,1064,1242,932,3
CG,14/10/2018,72003,Bocholt,23,9564,9053,664,9,Via,23,465,2480,2945,2651,9
CG,14/10/2018,72003,Bocholt,23,9564,9053,664,10,BOCHOLT BELEEFT,5,225,473,698,349,1
CG,14/10/2018,11004,Boechout,23,10217,9432,162,2,N-VA,23,771,1231,2002,1669,5
CG,14/10/2018,11004,Boechout,23,10217,9432,162,3,CD&V,17,160,765,925,617,2
CG,14/10/2018,11004,Boechout,23,10217,9432,162,4,Groen-Gangmaker,23,404,767,1171,781,2
CG,14/10/2018,11004,Boechout,23,10217,9432,162,5,VLAAMS BELANG,7,233,358,591,296,1
CG,14/10/2018,11004,Boechout,23,10217,9432,162,7,PRO Boechout&Vremde,23,793,2615,3408,3099,10
CG,14/10/2018,11004,Boechout,23,10217,9432,162,8,t Dorp,23,249,924,1173,880,3
CG,14/10/2018,12005,Bonheiden,23,11934,10970,389,2,N-VA,23,709,2075,2784,2387,6
CG,14/10/2018,12005,Bonheiden,23,11934,10970,389,3,CD&V,23,254,1599,1853,1483,4
CG,14/10/2018,12005,Bonheiden,23,11934,10970,389,4,Groen,23,475,1341,1816,1453,4
CG,14/10/2018,12005,Bonheiden,23,11934,10970,389,6,Open Vld,23,363,1065,1428,1071,3
CG,14/10/2018,12005,Bonheiden,23,11934,10970,389,7,BR30,23,447,2253,2700,2315,6
CG,14/10/2018,11005,Boom,25,12766,11696,374,2,N-VA,25,816,2553,3369,3063,10
CG,14/10/2018,11005,Boom,25,12766,11696,374,3,CD&V,25,243,1316,1559,1248,4
CG,14/10/2018,11005,Boom,25,12766,11696,374,4,Groen,25,290,628,918,459,1
CG,14/10/2018,11005,Boom,25,12766,11696,374,5,VLAAMS BELANG,22,537,983,1520,1140,3
CG,14/10/2018,11005,Boom,25,12766,11696,374,6,Open Vld,25,141,394,535,,0
CG,14/10/2018,11005,Boom,25,12766,11696,374,7,BOOM VOORUIT,25,119,231,350,,0
CG,14/10/2018,11005,Boom,25,12766,11696,374,8,BOOM één,25,221,2288,2509,2196,7
CG,14/10/2018,11005,Boom,25,12766,11696,374,9,PVDA,25,117,445,562,,0
CG,14/10/2018,24014,Boortmeerbeek,23,9586,8939,278,1,sp.a,23,153,609,762,381,1
CG,14/10/2018,24014,Boortmeerbeek,23,9586,8939,278,2,N-VA,23,655,1045,1700,1360,4
CG,14/10/2018,24014,Boortmeerbeek,23,9586,8939,278,3,CD&V-GROEN,23,558,1596,2154,1847,6
CG,14/10/2018,24014,Boortmeerbeek,23,9586,8939,278,5,VLAAMS BELANG,5,265,313,578,289,1
CG,14/10/2018,24014,Boortmeerbeek,23,9586,8939,278,6,Open Vld,23,349,3118,3467,3179,11
CG,14/10/2018,73009,Borgloon,21,8581,8206,339,1,sp.a,21,237,2292,2529,2248,8
CG,14/10/2018,73009,Borgloon,21,8581,8206,339,2,N-VA,17,332,640,972,648,2
CG,14/10/2018,73009,Borgloon,21,8581,8206,339,3,CD&V,11,180,697,877,585,2
CG,14/10/2018,73009,Borgloon,21,8581,8206,339,5,VLAAMS BELANG,1,256,253,509,,0
CG,14/10/2018,73009,Borgloon,21,8581,8206,339,6,Open Vld Stroop,21,332,2648,2980,2682,9
CG,14/10/2018,12007,Bornem,27,17014,15978,431,2,N-VA,27,1072,1743,2815,2252,4
CG,14/10/2018,12007,Bornem,27,17014,15978,431,3,CD&V,27,548,4702,5250,4773,10
CG,14/10/2018,12007,Bornem,27,17014,15978,431,5,VLAAMS BELANG,27,586,1375,1961,1471,3
CG,14/10/2018,12007,Bornem,27,17014,15978,431,7,IEDEREENBORNEM,27,895,4315,5210,4737,10
CG,14/10/2018,12007,Bornem,27,17014,15978,431,8,S.O.S. BORNEM,5,96,215,311,,0
CG,14/10/2018,11007,Borsbeek,21,7710,7060,278,1,sp.a,4,101,225,326,,0
CG,14/10/2018,11007,Borsbeek,21,7710,7060,278,2,N-VA,21,691,1887,2578,2321,9
CG,14/10/2018,11007,Borsbeek,21,7710,7060,278,5,VLAAMS BELANG,11,343,594,937,625,2
CG,14/10/2018,11007,Borsbeek,21,7710,7060,278,6,Open Vld,15,74,166,240,,0
CG,14/10/2018,11007,Borsbeek,21,7710,7060,278,7,Iedereen Borsbeek,21,440,2261,2701,2456,10
CG,14/10/2018,24016,Boutersem,19,6294,5912,218,1,sp.a,19,194,1263,1457,1215,5
CG,14/10/2018,24016,Boutersem,19,6294,5912,218,2,N-VA,19,417,436,853,640,3
CG,14/10/2018,24016,Boutersem,19,6294,5912,218,3,CD&V,19,203,1323,1526,1308,6
CG,14/10/2018,24016,Boutersem,19,6294,5912,218,4,Groen,15,332,504,836,627,3
CG,14/10/2018,24016,Boutersem,19,6294,5912,218,6,Open Vld,19,231,586,817,545,2
CG,14/10/2018,24016,Boutersem,19,6294,5912,218,7,Leefbaar Boutersem,3,115,90,205,,0
CG,14/10/2018,45059,Brakel,23,11830,11131,444,1,sp.a,23,356,1077,1433,1075,3
CG,14/10/2018,45059,Brakel,23,11830,11131,444,2,N-VA,23,329,732,1061,531,1
CG,14/10/2018,45059,Brakel,23,11830,11131,444,3,CD&V,23,229,1371,1600,1200,3
CG,14/10/2018,45059,Brakel,23,11830,11131,444,5,VLAAMS BELANG,15,360,470,830,415,1
CG,14/10/2018,45059,Brakel,23,11830,11131,444,6,Open Vld,23,416,5347,5763,5403,15
CG,14/10/2018,11008,Brasschaat,33,28552,26054,711,2,N-VA,33,2228,8985,11213,10591,17
CG,14/10/2018,11008,Brasschaat,33,28552,26054,711,3,CD&V,33,643,3958,4601,3944,6
CG,14/10/2018,11008,Brasschaat,33,28552,26054,711,5,VLAAMS BELANG,33,910,1960,2870,2153,3
CG,14/10/2018,11008,Brasschaat,33,28552,26054,711,6,Open Vld,33,543,1845,2388,1592,2
CG,14/10/2018,11008,Brasschaat,33,28552,26054,711,7,Brasschaat 2012,33,803,2190,2993,2395,4
CG,14/10/2018,11008,Brasschaat,33,28552,26054,711,8,PVDA,33,289,989,1278,639,1
CG,14/10/2018,11009,Brecht,29,22509,20510,685,1,sp.a,24,207,547,754,,0
CG,14/10/2018,11009,Brecht,29,22509,20510,685,2,N-VA,29,2257,4259,6516,5973,11
CG,14/10/2018,11009,Brecht,29,22509,20510,685,3,CD&V-CDB,29,583,4940,5523,5021,10
CG,14/10/2018,11009,Brecht,29,22509,20510,685,4,Groen,29,551,788,1339,670,1
CG,14/10/2018,11009,Brecht,29,22509,20510,685,5,VLAAMS BELANG,29,1073,1829,2902,2322,4
CG,14/10/2018,11009,Brecht,29,22509,20510,685,6,Open Vld,29,351,1305,1656,1104,2
CG,14/10/2018,11009,Brecht,29,22509,20510,685,7,Oprecht Brecht,29,306,829,1135,568,1
CG,14/10/2018,35002,Bredene,25,14199,13057,518,1,sp.a,25,929,5361,6290,5897,15
CG,14/10/2018,35002,Bredene,25,14199,13057,518,2,N-VA/Open VLD,25,904,1009,1913,1531,4
CG,14/10/2018,35002,Bredene,25,14199,13057,518,3,CD&V,25,227,1041,1268,846,2
CG,14/10/2018,35002,Bredene,25,14199,13057,518,4,Groen,19,462,504,966,483,1
CG,14/10/2018,35002,Bredene,25,14199,13057,518,5,VLAAMS BELANG,14,995,527,1522,1142,3
CG,14/10/2018,35002,Bredene,25,14199,13057,518,7,NEUTRAAL BREDENE,25,191,266,457,,0
CG,14/10/2018,35002,Bredene,25,14199,13057,518,8,V.I.T.A.L.,1,53,38,91,,0
CG,14/10/2018,35002,Bredene,25,14199,13057,518,9,NSVWP,1,17,15,32,,0
CG,14/10/2018,72004,Bree,25,12146,11366,744,2,N-VA,25,566,1863,2429,2126,7
CG,14/10/2018,72004,Bree,25,12146,11366,744,3,CD&V,25,537,2146,2683,2348,7
CG,14/10/2018,72004,Bree,25,12146,11366,744,7,Verjonging,25,551,2447,2998,2665,8
CG,14/10/2018,72004,Bree,25,12146,11366,744,8,Vernieuwing,25,181,708,889,445,1
CG,14/10/2018,72004,Bree,25,12146,11366,744,9,BROS,25,194,567,761,381,1
CG,14/10/2018,72004,Bree,25,12146,11366,744,10,VCD,15,164,698,862,431,1
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,1,sp.a de Brugse Lijst,47,2472,13400,15872,14430,10
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,2,N-VA,47,2862,6711,9573,7978,5
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,3,CD&V,47,2826,23304,26130,24679,17
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,4,Groen,47,3655,5209,8864,7387,5
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,5,VLAAMS BELANG,47,3633,3879,7512,6010,4
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,6,Open Vld PLUS,47,1499,9397,10896,9340,6
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,7,DOE GEWEUNE,5,492,854,1346,,0
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,8,VL. CHRISTEN PARTIJ,6,97,146,243,,0
CG,14/10/2018,31005,Brugge,47,93008,84272,2357,9,PVDA,21,719,760,1479,,0
