type,datum,NIS,kieskring,mandaten,"ingeschreven
kiezers",stembiljetten,blanco&ongeldig,lijstnr,lijst,"aantal
kandidaten",lijststemmen cat.1,lijststemmen cat.2,stemcijfer,verkiesbaarheidscijfer,verkregen zetels
PR,14/10/2018,44021,Gent,15,446718,445367,27961,2,N-VA,15,53134,24804,77938,58454,3
PR,14/10/2018,44021,Gent,15,446718,445367,27961,3,CD&V,15,28335,45472,73807,55356,3
PR,14/10/2018,44021,Gent,15,446718,445367,27961,4,Groen,15,51520,18310,69830,52373,3
PR,14/10/2018,44021,Gent,15,446718,445367,27961,5,VLAAMS BELANG,15,30130,14662,44792,29862,2
PR,14/10/2018,44021,Gent,15,446718,445367,27961,6,Open Vld,15,44048,34830,78878,59159,3
PR,14/10/2018,44021,Gent,15,446718,445367,27961,7,PVDA,15,10951,7242,18193,,0
PR,14/10/2018,44021,Gent,15,446718,445367,27961,8,VMC,15,282,1198,1480,,0
PR,14/10/2018,44021,Gent,15,446718,445367,27961,9,POKÉMON-LIJST,15,4408,2431,6839,,0
PR,14/10/2018,44021,Gent,15,446718,445367,27961,11,MRP,1,286,675,961,,0
PR,14/10/2018,44021,Gent,15,446718,445367,27961,12,SPIEGEL Partij,12,395,666,1061,,0
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,1,sp.a,20,8346,19409,27755,13878,1
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,2,N-VA,20,47438,43736,91174,75979,5
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,3,CD&V,20,17143,46134,63277,50622,4
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,4,Groen,20,29519,21986,51505,38629,3
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,5,VLAAMS BELANG,20,18383,15176,33559,22373,2
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,6,Open Vld,20,19839,38293,58132,43599,3
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,7,UF,20,16779,18861,35640,23760,2
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,8,PVDA,20,3548,3749,7297,,0
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,9,BUB Belgische Unie,8,1183,1526,2709,,0
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,10,PRO VLAANDEREN,13,1188,2321,3509,,0
PR,14/10/2018,23027,Halle-Vivoorde,20,440290,404389,27805,11,VOLUIT RESPECT!,7,502,1525,2027,,0
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,1,sp.a,15,10925,35784,46709,35032,3
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,2,N-VA,15,32045,31411,63456,50765,4
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,3,CD&V,15,18542,42326,60868,48695,4
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,4,Groen,15,14057,11112,25169,12585,1
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,5,VLAAMS BELANG,15,16224,15982,32206,21471,2
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,6,Open Vld,15,9275,18774,28049,14025,1
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,7,PVDA,15,3507,5460,8967,,0
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,8,LIMBURG ANDERS,15,1273,1675,2948,,0
PR,14/10/2018,71022,Hasselt,15,315689,293439,21133,9,REDT DE FRUITSTREEK,1,1302,2632,3934,,0
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,1,sp.a,11,12672,26554,39226,26151,2
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,2,N-VA,11,27708,18745,46453,30969,2
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,3,CD&V,11,16982,34571,51553,34369,2
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,4,Groen,11,17599,9375,26974,13487,1
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,5,VLAAMS BELANG,11,23023,12067,35090,23394,2
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,6,Open Vld,11,14316,28677,42993,28662,2
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,7,PVDA,11,2793,2009,4802,,0
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,8,OK,11,958,1565,2523,,0
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,9,BASS-MASS Westhouk,1,501,588,1089,,0
PR,14/10/2018,33011,Ieper-Oostende-Diksmuide,11,295564,272705,21484,10,V.I.T.A.L.,1,239,279,518,,0
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,1,sp.a,16,20265,16106,36371,24248,2
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,2,N-VA,16,43997,27417,71414,53561,3
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,3,CD&V,16,37016,65964,102980,85817,5
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,4,Groen,16,28699,16014,44713,29809,2
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,5,VLAAMS BELANG,16,35963,17859,53822,35882,2
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,6,Open Vld,16,18547,20818,39365,26244,2
PR,14/10/2018,34022,Kortrijk-Roeselare-Tielt,16,409328,385085,28792,7,PVDA,16,4643,2985,7628,,0
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,1,sp.a,16,12412,23521,35933,23956,2
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,2,N-VA,16,29073,58703,87776,73147,5
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,3,CD&V,16,18456,42490,60946,45710,3
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,4,Groen,16,33748,21488,55236,41427,3
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,5,VLAAMS BELANG,16,16188,11006,27194,13597,1
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,6,Open Vld,16,17485,33408,50893,33929,2
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,7,UF,16,1136,1355,2491,,0
PR,14/10/2018,24062,Leuven,16,375234,348507,19233,8,PVDA,16,4886,3919,8805,,0
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,1,sp.a,9,4211,15762,19973,9987,1
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,2,N-VA,9,14427,16479,30906,20604,2
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,3,CD&V,9,11173,37841,49014,39212,4
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,4,Groen,9,6505,5147,11652,,0
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,5,VLAAMS BELANG,9,9638,10608,20246,10123,1
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,6,Open Vld,9,4178,11735,15913,7957,1
PR,14/10/2018,72021,Maaseik,9,177005,166764,14658,7,PVDA,9,1834,2568,4402,,0
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,1,sp.a,7,7401,10221,17622,,0
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,2,N-VA,7,38630,23646,62276,46707,3
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,3,CD&V,7,18180,21014,39194,19597,1
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,4,Groen,7,18373,14569,32942,16471,1
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,5,VLAAMS BELANG,7,18557,13733,32290,16145,1
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,6,Open Vld,7,8745,23631,32376,16188,1
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,7,PVDA,7,4282,4560,8842,,0
PR,14/10/2018,12025,Mechelen,7,259772,242340,14879,12,SamBA,7,653,1266,1919,,0
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,1,sp.a,7,4689,13639,18328,9164,1
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,2,N-VA,7,9539,14649,24188,12094,1
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,3,CD&V,7,6945,22237,29182,19455,2
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,4,Groen,7,6169,3962,10131,,0
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,5,VLAAMS BELANG,7,8933,6611,15544,7772,1
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,6,Open Vld,7,5596,20807,26403,17602,2
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,7,PVDA,7,1568,1566,3134,,0
PR,14/10/2018,73083,Tongeren,7,145077,137883,10048,8,DéFI,2,211,714,925,,0
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,1,sp.a,9,8381,13509,21890,,0
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,2,N-VA,9,43030,44023,87053,65290,3
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,3,CD&V,9,24428,46916,71344,53508,3
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,4,Groen,9,17869,14376,32245,16123,1
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,5,VLAAMS BELANG,9,21290,27545,48835,32557,2
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,6,Open Vld,9,7214,15811,23025,,0
PR,14/10/2018,13040,Turnhout,9,339498,316629,23579,7,PVDA,9,4275,4383,8658,,0
