type,datum,NIS,kieskring,mandaten,"ingeschreven
kiezers",stembiljetten,blanco&ongeldig,lijstnr,lijst,stemb cat 1,stemb cat 2,stemcijfer,verkiesbaarheidscijfer,verkregen zetels
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,1,sp.a,659,2105,2764,2073,3
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,2,N-VA,2993,6403,9396,8613,11
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,3,CD&V,377,1658,2035,1357,2
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,4,Groen,955,2243,3198,2399,3
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,5,VLAAMS BELANG,1347,2916,4263,3411,4
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,6,Open Vld,332,632,964,482,1
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,7,PVDA,401,1138,1539,770,1
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,8,Be.One,29,215,244,,0
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,9,D-SA,16,293,309,,0
DI,14/10/2018,11282,Merksem,25,29016,25938,1090,10,Volkspartij,30,106,136,,0
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,1,sp.a,564,1677,2241,1494,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,2,N-VA,3762,5773,9535,8669,10
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,3,CD&V,629,1874,2503,1669,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,4,Groen,1592,2074,3666,2933,4
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,5,VLAAMS BELANG,801,1869,2670,2003,3
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,6,Open Vld,719,1360,2079,1386,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,7,PVDA,489,1294,1783,1189,2
DI,14/10/2018,11292,Wilrijk,25,28435,25720,837,8,D-SA,32,374,406,,0
